City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
314,Puerto Gaitan,CO,4.3133,-72.0816,83.52,71,93,7.27,overcast clouds
315,Chernaya Kholunitsa,RU,58.8511,51.7154,63.18,96,100,4.61,overcast clouds
316,Little Current,CA,45.9793,-81.9248,74.41,60,62,3.04,broken clouds
317,Palauig,PH,15.435,119.9045,81.21,76,97,6.35,overcast clouds
318,Elverum,NO,60.8819,11.5623,48.7,62,99,4.99,overcast clouds
319,Benito Juarez,MX,19.385,-99.165,75.02,35,75,8.05,broken clouds
320,Bubaque,GW,11.2833,-15.8333,80.58,81,100,13.15,overcast clouds
321,Ciempozuelos,ES,40.1591,-3.621,97.99,13,2,17.11,clear sky
322,Vengerovo,RU,55.6848,76.7471,61.11,98,100,1.83,overcast clouds
323,Savannakhet,LA,16.566,104.751,75.52,95,100,4.74,moderate rain
324,Fortuna,US,40.5982,-124.1573,63.86,86,75,8.19,broken clouds
325,Jutai,BR,-5.1833,-68.9,80.6,89,66,2.71,light rain
326,Carauari,BR,-4.8828,-66.8958,86.85,61,48,3.29,scattered clouds
327,Hay River,CA,60.8156,-115.7999,64.38,68,99,8.05,overcast clouds
328,San Cristobal,VE,7.7669,-72.225,82.58,42,36,2.66,scattered clouds
329,Amapa,BR,1.0,-52.0,76.42,96,40,3.02,light rain
330,Prince George,CA,53.9166,-122.753,62.62,78,75,8.05,broken clouds
331,Pajan,EC,-1.5667,-80.4167,83.55,59,65,3.13,broken clouds
332,Coquimbo,CL,-29.9533,-71.3436,53.33,100,100,13.8,light rain
333,Kamennomostskoye,RU,43.7372,43.0514,60.35,87,67,4.52,broken clouds
334,Udachnyy,RU,66.4167,112.4,53.46,76,100,9.78,overcast clouds
335,Chinsali,ZM,-10.5414,32.0816,59.36,54,1,7.78,clear sky
336,Hudiksvall,SE,61.729,17.1036,50.25,91,100,13.62,light rain
337,Vaitape,PF,-16.5167,-151.75,77.83,63,100,23.58,overcast clouds
338,Dicabisagan,PH,17.0818,122.4157,78.8,89,93,4.29,overcast clouds
339,Carndonagh,IE,55.25,-7.2667,56.57,93,100,7.49,overcast clouds
340,Itaituba,BR,-4.2761,-55.9836,82.56,78,40,2.3,scattered clouds
